# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
1.876166 -8.848325 -0.609468 5.625554 0.145231 -0.052416 0.395924
1.886290 -8.624810 -0.276794 5.630752 0.149353 -0.075212 0.379676
1.896413 -8.809340 0.196225 5.646346 0.194218 -0.085155 0.381616
1.906535 -8.869117 0.505507 5.557980 0.253148 -0.090248 0.362458
1.916658 -8.848325 0.786200 5.578772 0.309167 -0.092915 0.342329
1.926780 -8.687186 1.391769 5.664539 0.373918 -0.102616 0.330689
1.936911 -8.445478 1.555507 5.742509 0.429210 -0.117894 0.328506
1.947041 -8.115404 1.409962 5.607361 0.456614 -0.157666 0.300617
1.957165 -7.936073 1.524319 5.708722 0.486200 -0.206410 0.300617
1.967292 -7.564414 1.251423 5.373450 0.529367 -0.287651 0.281944
1.977422 -7.629390 0.874566 5.495604 0.541735 -0.350219 0.271274
1.987574 -7.652781 0.528898 5.576173 0.536157 -0.410604 0.240232
1.997734 -8.014043 0.500309 5.487807 0.512876 -0.447465 0.233442
2.007878 -7.990652 0.245606 5.568376 0.494688 -0.499362 0.203371
2.017998 -8.372706 0.375557 5.612559 0.462434 -0.527978 0.195853
2.028130 -8.791146 0.612067 5.937435 0.452976 -0.551744 0.194398
2.038248 -9.048448 0.580878 5.950430 0.438183 -0.560960 0.191488
2.048334 -9.503275 0.547091 5.875059 0.419752 -0.540831 0.181302
2.058438 -9.913918 0.739418 5.906247 0.409567 -0.469776 0.185910
2.068578 -10.030874 0.942141 5.849069 0.408112 -0.379320 0.186880
2.078770 -10.166022 1.170853 5.578772 0.399381 -0.279163 0.179120
2.089297 -9.861938 1.157858 5.305876 0.403989 -0.213928 0.162387
2.099457 -9.781369 1.378774 5.045975 0.389923 -0.139962 0.144926
2.109556 -9.947705 1.620482 4.757485 0.367370 -0.074970 0.139106
2.119681 -9.742384 1.225433 4.546965 0.357427 -0.043928 0.123828
2.129810 -9.599438 1.072091 4.232485 0.326871 -0.001247 0.128435
2.139952 -9.513671 0.848576 4.084342 0.270366 0.033190 0.103214
2.150081 -9.503275 0.609468 4.144119 0.212406 0.055016 0.077023
2.160200 -9.212186 0.352166 4.237683 0.142563 0.065444 0.070233
2.170308 -8.793745 0.128651 4.255877 0.081935 0.058653 0.052287
2.180447 -8.733968 -0.001300 4.320852 0.016215 0.055743 0.030461
2.190578 -8.744364 -0.024691 4.362436 -0.049505 0.082662 0.015426
2.200706 -8.663795 -0.029889 4.367634 -0.112558 0.106185 0.006938
2.210827 -8.474067 0.383354 4.583352 -0.143356 0.123646 0.020276
2.220961 -8.336320 0.586076 4.663921 -0.168092 0.124131 0.019791
