# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
2.240364 0.502908 9.329141 2.244244 0.034442 0.009558 0.108199
2.250491 0.565284 9.414909 2.262437 0.032017 0.004465 0.105532
2.260617 0.565284 9.511072 2.293625 0.024499 0.000342 0.096801
2.270749 0.476918 9.516270 2.272833 0.018679 0.007618 0.095346
2.280865 0.469121 9.407112 2.122090 0.007281 0.022411 0.088313
2.290955 0.471720 9.459092 2.153279 0.024499 0.038659 0.078613
2.301079 0.773205 9.578646 2.561323 0.037110 0.035991 0.074490
2.311216 0.910953 9.651418 2.501546 0.067909 0.008588 0.051209
2.321353 0.926547 9.615032 2.613303 0.088037 -0.024394 0.029383
2.331477 0.679641 9.487681 2.428774 0.109135 -0.039187 0.002465
2.341618 0.651052 9.433102 2.085704 0.120776 -0.020756 -0.009903
2.351761 0.632859 9.396715 2.072709 0.110590 -0.017846 -0.014511
2.362033 0.731621 9.609834 2.215655 0.111075 -0.032396 -0.017421
2.372203 1.144863 9.807359 2.407981 0.148665 -0.095692 -0.031972
2.382355 0.955136 9.760577 2.569120 0.158607 -0.201911 -0.039004
2.392500 0.596472 9.698200 2.446967 0.196924 -0.263994 -0.027606
2.402637 0.271596 9.521468 2.291026 0.227723 -0.258901 -0.010631
2.412763 0.019493 9.422706 2.189665 0.249549 -0.183238 0.017500
2.422909 0.217017 9.534463 2.241645 0.259977 -0.116062 0.031081
2.433030 0.773205 9.783968 2.587313 0.278165 -0.082839 0.041266
2.443143 0.552289 9.945106 2.511942 0.338550 -0.091084 0.050482
2.453285 0.463923 9.882730 2.462561 0.374441 -0.107090 0.064790
2.463434 0.310582 9.752780 2.405382 0.406695 -0.061983 0.069640
2.473567 0.222215 9.830750 2.259838 0.441859 0.015136 0.089041
2.483713 0.448329 9.763176 2.392387 0.475326 0.083038 0.095831
2.493942 0.489913 9.848943 2.168873 0.501274 0.150214 0.103592
2.504046 0.469121 9.802161 2.002536 0.505882 0.200898 0.088556
2.514196 0.469121 9.838547 1.950556 0.517037 0.258373 0.086131
2.524323 0.679641 9.713795 1.672462 0.515825 0.316091 0.074005
2.534455 0.697834 9.573448 1.526918 0.513157 0.355377 0.060667
2.544582 0.539294 9.581245 1.459343 0.487451 0.397816 0.052664
2.554707 0.583477 9.620230 1.565903 0.483328 0.424978 0.049269
2.564823 0.625062 9.773572 1.625680 0.487451 0.434435 0.036659
2.574933 0.671844 9.911319 1.386571 0.490119 0.460627 0.023806
2.585051 0.760210 9.794364 1.254022 0.488664 0.482452 -0.003598
2.595160 0.679641 9.599438 1.337190 0.474598 0.493850 -0.031002
2.605471 0.786200 9.682606 1.573700 0.488664 0.528772 -0.053797
2.615630 0.887561 9.547458 1.306002 0.471203 0.537017 -0.098419
2.625757 1.233230 9.703398 1.568502 0.452045 0.494578 -0.125338
2.635865 1.285210 9.869735 1.568502 0.464413 0.377446 -0.175538
2.646031 0.957735 9.737186 1.022710 0.487694 0.368230 -0.238833
2.656159 1.027908 9.625428 1.147462 0.459077 0.329914 -0.314253
2.666302 0.521101 9.825552 0.949938 0.430704 0.288687 -0.384339
2.676434 0.349567 9.942507 0.923948 0.411303 0.270984 -0.435993
2.686571 0.445730 10.150428 0.983725 0.366196 0.209629 -0.510201
2.696701 -0.022092 10.301170 0.822586 0.408635 0.051997 -0.542213
2.706807 -0.508106 9.919116 0.625062 0.376139 -0.001113 -0.587562
2.717901 -1.087685 9.807359 1.129269 0.279135 0.012953 -0.610843
2.728040 -1.277413 9.518869 1.932363 0.153515 0.112382 -0.574952
2.738183 -1.607487 9.490280 2.517140 -0.031035 0.349314 -0.549246
