# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
2.576232 -0.281992 9.451295 3.702288 -0.191779 0.019966 0.254356
2.586366 -0.170235 9.708596 3.213674 -0.180381 0.060466 0.254841
2.596480 -0.541893 9.830750 2.332610 -0.199539 0.099025 0.261147
2.606589 -0.736819 9.409711 3.138303 -0.271322 0.276057 0.245141
2.616688 0.100062 9.188795 4.396223 -0.400823 0.362633 0.213130
2.626795 0.684839 10.012680 4.723698 -0.429196 0.314859 0.176510
2.636931 0.887561 10.423324 4.981000 -0.303819 0.194089 0.136496
2.647063 0.762809 10.095849 4.570357 -0.186929 0.095144 0.087752
2.657167 0.336572 9.937309 4.203896 -0.111993 0.014631 0.046040
2.667269 0.053280 9.682606 3.824441 -0.128726 0.049068 0.014271
2.677405 0.107859 9.427904 3.559342 -0.179896 0.050038 -0.004402
2.687534 0.068874 9.425305 3.619119 -0.229853 0.080109 -0.026228
2.697685 -0.071473 9.537062 4.097337 -0.275930 0.141221 -0.023075
2.707804 0.349567 9.708596 4.539168 -0.271565 0.122791 -0.034473
2.717930 0.505507 9.846344 4.396223 -0.245374 0.107270 -0.079095
2.728023 0.276794 9.698200 4.177906 -0.209482 0.078654 -0.114987
2.738134 0.575680 9.570849 4.401421 -0.189111 0.058040 -0.163731
2.748291 0.300185 9.885329 4.175307 -0.180623 0.030394 -0.194772
2.758448 0.313181 9.705997 4.125926 -0.141094 0.027969 -0.220964
2.768585 0.323577 9.453894 4.167510 -0.141094 0.010023 -0.260250
2.778744 -0.081869 9.674809 4.003773 -0.149582 0.012206 -0.243760
2.788851 -0.050681 9.560453 4.102535 -0.172136 0.035244 -0.267525
2.798961 0.048082 9.794364 4.331248 -0.161465 0.029424 -0.287169
2.809073 0.152042 9.615032 4.120728 -0.156857 0.011721 -0.336398
2.819194 0.037686 9.724191 4.146718 -0.135517 0.020451 -0.367682
2.829333 -0.074072 9.521468 4.045357 -0.155402 0.009781 -0.405756
2.839464 -0.027290 9.708596 4.289664 -0.174318 -0.018108 -0.423702
2.849590 -0.032488 9.469488 4.050555 -0.177713 -0.044541 -0.467354
2.859710 -0.297586 9.625428 4.034961 -0.205845 -0.040176 -0.477054
2.869828 -0.432735 9.336938 3.876421 -0.221608 -0.056424 -0.485542
2.879983 -0.788799 9.370725 3.993377 -0.265744 -0.053029 -0.452561
2.890103 -1.020111 9.544859 4.510579 -0.331222 0.035487 -0.404301
2.900244 -0.942141 9.757978 5.391643 -0.310851 0.056100 -0.369137
2.910397 -1.238428 9.945106 5.287683 -0.191779 0.059738 -0.291049
2.920513 -0.832982 9.674809 5.368252 -0.080224 0.091749 -0.233574
2.930622 -0.721225 9.765775 5.412435 -0.004804 0.063618 -0.186285
2.940735 -0.864170 9.731988 5.160332 0.088563 0.029909 -0.156941
2.950830 -0.825185 9.838547 4.931619 0.174654 -0.023200 -0.102619
2.960964 -0.986324 9.848943 4.666520 0.247407 -0.050847 -0.049266
2.971093 -0.895358 9.854141 4.313055 0.272628 -0.054484 0.018879
2.981216 -0.882363 9.609834 4.248079 0.274810 -0.018350 0.044342
2.991324 -0.583477 9.139414 4.177906 0.246922 -0.048664 0.055255
3.001454 -0.484715 9.214785 4.362436 0.234069 -0.056909 0.068108
3.011576 -0.411943 9.282359 4.170109 0.208120 -0.080675 0.054528
3.021712 -0.492512 9.370725 4.133723 0.213455 -0.110989 0.032702
3.031852 -0.378156 9.225181 4.014169 0.203270 -0.109777 0.024942
3.041967 -0.333973 9.336938 3.982981 0.200602 -0.094741 -0.012405
3.052129 -0.146844 9.487681 3.959590 0.201087 -0.122630 -0.053874
3.062262 -0.063676 9.472087 4.086941 0.200360 -0.115839 -0.075943
3.072387 -0.204022 9.425305 4.118129 0.220003 -0.141303 -0.115472
3.082559 -0.401547 9.516270 4.255877 0.214425 -0.153913 -0.131235
3.092712 -0.427537 9.412310 3.923203 0.206180 -0.162401 -0.170279
3.102845 -0.692636 9.464290 3.759466 0.167864 -0.129177 -0.173674
3.112970 -0.788799 9.526666 3.814045 0.128334 -0.125297 -0.192590
3.123114 -0.757611 9.414909 3.873822 0.095596 -0.094983 -0.203018
3.133327 -0.882363 9.435701 4.105134 0.068677 -0.075098 -0.205200
3.143433 -0.981126 9.599438 4.141520 0.044183 -0.039449 -0.194772
3.153562 -0.817388 9.498077 3.998575 0.010232 -0.005982 -0.198895
